,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_mass,star_mass_error_min,star_mass_error_max
3828,0.56,0.08,0.08,1.29,0.02,0.02,1.8555582,5.2e-07,5.2e-07,5750.0,100.0,100.0,1.15,0.04,0.04
3832,0.595,0.081,0.081,1.192,0.052000000000000005,0.052000000000000005,2.6843285,8.199999999999999e-08,8.199999999999999e-08,5560.0,80.0,80.0,0.85,0.04,0.04
3833,1.03,0.13,0.13,0.89,0.06,0.08,3.3118644,3.9e-07,3.9e-07,5460.0,81.0,81.0,1.01,0.054000000000000006,0.054000000000000006
3838,1.27,0.19,0.19,1.08,0.03,0.03,3.52563254,1.5e-07,1.5e-07,5150.0,100.0,100.0,0.87,0.05,0.05
3851,0.84,0.15,0.15,1.99,0.18,0.18,8.600153599999999,1.8000000000000001e-06,1.8000000000000001e-06,6161.0,94.0,94.0,1.54,0.09,0.09
3873,1.37,0.46,0.48,1.65,0.59,0.59,7.79430132,1.82e-06,1.82e-06,5493.0,62.0,62.0,1.0,0.21,0.21
3877,1.0,0.1,0.1,1.09,0.07,0.07,3.2467292999999997,3e-06,3e-06,5800.0,100.0,100.0,1.12,0.08,0.08
3896,0.505,0.09,0.09,0.96,0.11,0.11,2.4552389999999997,5e-06,5e-06,3820.0,90.0,90.0,0.59,0.06,0.06
4233,0.6679999999999999,0.035,0.038,1.304,0.033,0.018000000000000002,3.2346996,4e-07,4e-07,5647.0,44.0,44.0,1.21,0.04,0.04
4290,0.63,0.12,0.12,0.96,0.02,0.02,7.340711,6e-06,6e-06,6000.0,100.0,100.0,1.18,0.04,0.04
4497,0.59,0.12,0.13,1.416,0.062,0.053,3.5224991,7e-07,7e-07,6213.0,150.0,150.0,1.21,0.06,0.07
4528,0.81,0.17,0.18,1.367,0.06,0.069,6.246580000000001,8.2e-05,8.2e-05,4550.0,75.0,75.0,1.31,0.1,0.1
4791,1.09,0.087,0.087,1.03,0.13,0.13,1.706291,5.9999999999999995e-05,5.9999999999999995e-05,5165.0,90.0,90.0,0.892,0.1,0.1
4827,0.81,0.18,0.18,0.89,0.07,0.07,3.91405,4e-05,4e-05,5000.0,150.0,150.0,0.87,0.004,0.004
4835,1.675,0.24100000000000002,0.24100000000000002,1.53,0.04,0.07,2.82406,2.9999999999999997e-05,2.9999999999999997e-05,7800.0,200.0,200.0,1.75,0.05,0.05
4886,0.7509999999999999,0.09,0.1,1.1,0.1,0.1,3.27623,1e-05,1e-05,5600.0,150.0,150.0,0.995,0.3,0.3
4887,0.667,0.13,0.16,1.3,0.13,0.13,4.84532,2e-05,2e-05,5550.0,150.0,150.0,1.002,0.035,0.035
4888,0.764,0.16399999999999998,0.195,1.24,0.11,0.11,3.24253,1e-05,1e-05,5650.0,100.0,100.0,1.025,0.035,0.035
4890,0.812,0.025,0.066,1.33,0.33,0.61,2.647298,0.0002,0.0002,3916.0,63.0,71.0,0.617,0.062,0.023
4893,0.613,0.1,0.1,1.2670000000000001,0.03,0.03,4.0760000000000005,4.1e-06,4.1e-06,6057.0,64.0,64.0,1.01,0.07,0.07
4894,0.52,0.12,0.12,1.214,0.062,0.057999999999999996,3.4678796000000003,7.000000000000001e-06,7.000000000000001e-06,5820.0,8.0,93.0,1.26,0.04,0.04
4895,0.639,0.052000000000000005,0.057999999999999996,1.023,0.052000000000000005,0.035,2.823093,3.3e-06,3.3e-06,5321.0,58.0,58.0,0.91,0.04,0.04
4897,0.593,0.07,0.095,1.396,0.04,0.04,3.3704181,6e-06,6e-06,5700.0,80.0,80.0,1.07,0.06,0.06
4899,0.67,0.08900000000000001,0.08900000000000001,1.536,0.062,0.062,4.5111204,1.8000000000000001e-06,1.8000000000000001e-06,6478.0,89.0,94.0,1.64,0.22,0.19
4907,1.33,0.027999999999999997,0.024,1.271,0.19,0.19699999999999998,0.882058,1e-06,1e-06,4410.0,70.0,70.0,0.7876,0.016,0.016
4908,0.93,0.04,0.04,1.09,0.03,0.03,2.4997,1e-05,1e-05,5241.0,50.0,50.0,0.89,0.05,0.05
5039,1.3,0.08,0.08,1.2,0.17,0.17,1.2119090000000001,1e-06,1e-06,6050.0,100.0,100.0,1.17,0.04,0.04
5081,0.736,0.09,0.09,1.534,0.4,0.4,1.6453209999999998,1e-05,1e-05,6124.0,46.0,46.0,1.156,0.068,0.068
5082,1.294,0.049,0.05,1.143,0.025,0.026000000000000002,1.42002504,7.1e-07,7.1e-07,5013.0,88.0,93.0,0.838,0.016,0.016
5087,0.6679999999999999,0.066,0.066,1.062,0.07,0.07,3.506189,2e-05,2e-05,5052.0,66.0,66.0,0.8220000000000001,0.021,0.021
5088,1.88,0.25,0.25,1.7,0.03,0.03,2.032046,1e-05,1e-05,6387.0,38.0,38.0,1.409,0.026000000000000002,0.026000000000000002
5090,1.19,0.16,0.16,1.0090000000000001,0.013999999999999999,0.013999999999999999,1.5407309999999999,3.8e-05,3.8e-05,4309.0,31.0,31.0,0.7190000000000001,0.024,0.024
5160,1.057,0.016,0.006,1.16,0.036000000000000004,0.036000000000000004,8.3501898,1e-06,4e-06,4250.0,67.0,67.0,0.684,0.17,0.16
5171,1.18,0.14,0.14,1.3,0.08,0.08,2.103195,1.2e-05,1.2e-05,6260.0,100.0,100.0,1.38,0.08,0.09
5214,1.42,0.08,0.08,1.4,0.08,0.08,3.1968838,5e-07,5e-07,6269.0,110.0,110.0,1.32,0.2,0.2
5263,1.83,0.47,0.47,1.8780000000000001,0.042,0.042,1.90261131,4.3e-07,4.3e-07,7300.0,100.0,100.0,1.79,0.26,0.26
5264,1.18,0.13,0.13,1.286,0.002,0.023,2.0845435,2.3e-06,2.3e-06,5404.0,67.0,70.0,0.948,0.018000000000000002,0.023
5265,0.99,0.11,0.11,1.239,0.039,0.046,5.331751000000001,1.1e-05,1.1e-05,5948.0,90.0,90.0,1.517,0.049,0.053
5266,0.6963,0.0242,0.0242,0.9225,0.0571,0.0571,8.7099,0.0006,0.0006,5597.0,146.529,146.529,0.9890000000000001,0.126,0.126
5268,1.22,0.12,0.12,1.489,0.034,0.034,4.231306,5.6999999999999996e-05,6.3e-05,6495.0,90.0,90.0,1.4352,0.028999999999999998,0.028999999999999998
