,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_mass,star_mass_error_min,star_mass_error_max
400,0.5429999999999999,0.07200000000000001,0.07200000000000001,1.212,0.035,0.035,3.0440499,2.7000000000000004e-06,2.7000000000000004e-06,5523.0,69.0,69.0,0.9620000000000001,0.028999999999999998,0.028999999999999998
401,1.071,0.07,0.07,1.0390000000000001,0.0022,0.0032,2.7667641,2.7000000000000004e-06,2.7000000000000004e-06,5346.0,60.0,60.0,0.9670000000000001,0.024,0.024
405,1.98,0.077,0.077,1.337,0.049,0.1,0.8378434000000001,4.7e-07,4.7e-07,5600.0,120.0,120.0,1.037,0.047,0.047
411,1.47,0.07200000000000001,0.07200000000000001,1.86,0.4,0.3,2.1605156,4.5e-06,4.5e-06,5780.0,120.0,120.0,1.121,0.046,0.046
413,0.613,0.042,0.042,1.26,0.1,0.1,4.2986432,4.5e-06,4.5e-06,5715.0,73.0,73.0,0.9940000000000001,0.035,0.035
414,0.65,0.076,0.076,1.75,0.21,0.21,3.3023881,7.6e-06,7.6e-06,6071.0,81.0,81.0,1.2990000000000002,0.055999999999999994,0.113
415,0.53,0.13,0.13,1.5,0.11,0.2,4.6370379999999995,1.4000000000000001e-05,1.4000000000000001e-05,6438.0,64.0,64.0,1.415,0.048,0.048
416,0.672,0.087,0.087,1.194,0.07,0.07,3.1810781,3.9e-06,3.9e-06,5498.0,84.0,84.0,0.929,0.036000000000000004,0.036000000000000004
417,0.653,0.063,0.063,1.251,0.061,0.061,4.605874900000001,6.3e-06,6.3e-06,5670.0,110.0,110.0,1.032,0.049,0.049
418,1.345,0.15,0.15,1.168,0.03,0.03,1.354133,1e-06,1e-06,5227.0,95.0,95.0,0.882,0.037000000000000005,0.037000000000000005
419,0.706,0.039,0.039,1.175,0.052000000000000005,0.052000000000000005,3.1743516,2.6e-06,2.6e-06,5943.0,70.0,70.0,1.093,0.031,0.031
420,0.88,0.12,0.12,1.64,0.22,0.22,3.37796,1.2e-05,1.2e-05,6050.0,120.0,120.0,1.275,0.096,0.096
421,0.92,0.1,0.1,1.249,0.096,0.14400000000000002,2.8126548,5.5e-06,5.5e-06,5700.0,110.0,110.0,1.099,0.044000000000000004,0.044000000000000004
422,1.192,0.053,0.053,1.23,0.08,0.11,2.5495551,6.1e-06,6.1e-06,5659.0,85.0,85.0,1.062,0.032,0.032
423,0.941,0.07200000000000001,0.07200000000000001,1.43,0.19,0.19,2.1061607,4.7e-06,4.7e-06,5380.0,73.0,73.0,0.955,0.031,0.031
424,1.222,0.078,0.078,1.464,0.044000000000000004,0.069,1.8209933,1.6e-06,1.6e-06,6300.0,100.0,100.0,1.317,0.4,0.4
429,1.071,0.136,0.136,1.381,0.035,0.035,3.547851,5e-06,5e-06,6351.0,76.0,76.0,1.209,0.036000000000000004,0.036000000000000004
430,1.59,0.24,0.24,1.58,0.12,0.16,3.2642736,6e-06,6e-06,6460.0,130.0,130.0,1.56,0.07,0.07
432,1.88,0.15,0.15,1.4,0.14,0.25,2.292102,2.1000000000000002e-06,2.1000000000000002e-06,6060.0,120.0,120.0,1.273,0.067,0.067
434,0.56,0.11,0.11,1.067,0.071,0.125,2.7439004000000002,3.2e-06,3.2e-06,5080.0,100.0,100.0,0.86,0.021,0.021
435,0.7,0.15,0.15,1.286,0.09300000000000001,0.09300000000000001,4.1876244,5.6e-06,5.6e-06,6450.0,110.0,110.0,1.272,0.048,0.048
440,1.3230000000000002,0.027999999999999997,0.027999999999999997,1.02,0.037000000000000005,0.037000000000000005,2.516729,2e-06,2e-06,5403.0,50.0,50.0,1.001,0.02,0.02
442,0.768,0.045,0.045,1.41,0.19,0.19,3.3488702000000004,3.9e-06,3.9e-06,5758.0,58.0,58.0,1.187,0.06,0.06
444,0.595,0.08900000000000001,0.08900000000000001,1.34,0.055999999999999994,0.055999999999999994,3.8537767999999994,3.8e-06,3.8e-06,5644.0,94.0,94.0,0.9640000000000001,0.04,0.04
445,0.753,0.057,0.057,1.015,0.024,0.024,2.5441765,2.4e-06,2.4e-06,5621.0,70.0,70.0,1.05,0.05,0.05
447,0.602,0.035,0.035,1.6880000000000002,0.055,0.039,4.324799,2.7000000000000002e-05,2.7000000000000002e-05,6536.0,31.0,31.0,1.5730000000000002,0.017,0.017
449,1.03,0.23,0.23,1.095,0.062,0.062,4.218089599999999,8.900000000000001e-06,8.900000000000001e-06,7175.0,54.0,54.0,1.4609999999999999,0.043,0.043
450,0.8059999999999999,0.069,0.069,1.126,0.077,0.077,5.416081,1.6e-05,1.6e-05,5670.0,91.0,91.0,1.038,0.039,0.039
453,0.662,0.055,0.055,1.153,0.053,0.053,3.560829,3.2e-05,3.2e-05,5690.0,24.0,24.0,1.1,0.016,0.01
456,0.96,0.12,0.12,1.207,0.039,0.039,3.0566527000000003,4.9000000000000005e-06,4.9000000000000005e-06,5626.0,18.0,18.0,0.9309999999999999,0.019,0.019
457,0.96,0.2,0.2,1.679,0.081,0.081,4.9088970000000005,1.3000000000000001e-05,1.3000000000000001e-05,6560.0,31.0,31.0,1.5619999999999998,0.026000000000000002,0.026000000000000002
458,0.821,0.083,0.083,1.501,0.05,0.05,3.105161,1.6e-06,1.6e-06,6276.0,25.0,35.0,1.2690000000000001,0.031,0.031
460,1.45,0.12,0.12,1.685,0.047,0.047,1.6091788,4e-06,4e-06,6605.0,33.0,33.0,1.44,0.02,0.02
461,1.29,0.0592,0.0592,1.2321,0.0294,0.0393,3.5862202000000005,4.7e-06,4.7e-06,6122.0,28.0,28.0,1.337,0.11900000000000001,0.022000000000000002
462,0.5770000000000001,0.5770000000000001,0.0,0.945,0.022000000000000002,0.022000000000000002,2.2252577000000002,1.9e-06,1.9e-06,5137.0,16.0,16.0,0.892,0.016,0.011000000000000001
467,1.46,0.14,0.14,1.032,0.021,0.021,1.73185606,5.5e-07,5.5e-07,3776.9,9.5,9.5,0.6,0.008,0.008
470,1.374,0.07400000000000001,0.1,1.165,0.021,0.021,3.0876262000000003,1.6e-06,1.6e-06,4071.0,13.0,13.0,0.655,0.013999999999999999,0.013999999999999999
473,0.8390000000000001,0.03,0.032,1.236,0.031,0.031,1.915291,1.8e-05,1.9e-05,5599.0,85.0,85.0,1.1,0.05,0.05
815,1.008,0.079,0.07400000000000001,1.5619999999999998,0.069,0.053,3.30896,8.2e-05,8.2e-05,6230.0,98.0,100.0,1.703,0.12,0.075
842,0.69,0.017,0.017,1.38,0.018000000000000002,0.018000000000000002,3.52472,2.8199999999999998e-05,2.8199999999999998e-05,6092.0,103.0,103.0,1.148,0.022000000000000002,0.022000000000000002
934,1.18,0.09,0.09,1.44,0.01,0.01,4.12692,4e-05,4e-05,6801.0,56.0,56.0,1.44,0.02,0.02
1307,0.84,0.08,0.08,1.426,0.049,0.049,3.3139589999999997,2.4e-05,2.4e-05,6061.0,96.0,96.0,1.3,0.14,0.14
1313,1.28,0.12,0.12,1.083,0.031,0.031,5.817685,4.1e-05,4.1e-05,5660.0,87.0,87.0,1.04,0.04,0.04
1352,0.93,0.04,0.04,1.093,0.015,0.015,6.56918,4e-05,4e-05,5705.0,48.0,50.0,1.0,0.02,0.02
1497,1.236,0.044000000000000004,0.044000000000000004,1.642,0.05,0.05,2.1805577,5.7000000000000005e-06,5.7000000000000005e-06,6099.0,110.0,110.0,1.23,0.05,0.05
1498,0.86,0.12,0.13,1.3,0.14,0.15,3.20466,2.9999999999999997e-05,2.9999999999999997e-05,5630.0,78.0,78.0,1.19,0.08,0.08
1528,1.42,0.32,0.31,1.5519999999999998,0.057,0.048,2.6266657,1.8000000000000001e-06,2e-06,6367.0,250.0,250.0,1.39,0.06,0.06
1588,0.73,0.04,0.04,1.19,0.02,0.02,3.2588321,1.9e-06,1.9e-06,5387.06,144.83700000000002,140.344,0.935,0.09817000000000001,0.14340999999999998
1608,0.579,0.027000000000000003,0.027999999999999997,1.0390000000000001,0.051,0.05,4.098503,1.1e-05,1.1e-05,5425.0,40.0,40.0,0.9,0.04,0.04
1621,1.774,0.079,0.079,1.06,0.35,0.35,1.25785,2e-06,2e-06,5340.0,111.149,83.54700000000001,0.922,0.0829,0.1444
1660,1.78,0.13,0.13,1.245,0.028999999999999998,0.028999999999999998,2.995633,8e-06,8e-06,6071.0,90.0,90.0,1.15,0.04,0.04
1830,1.1,0.11,0.11,0.9470000000000001,0.085,0.085,8.406725999999999,0.001827,0.0018629999999999999,4717.0,73.0,73.0,1.2,0.05,0.05
1836,0.679,0.039,0.039,1.399,0.049,0.069,4.166285,5.6999999999999996e-05,5.6999999999999996e-05,5948.0,74.0,74.0,1.112,0.061,0.055
1838,0.95,0.14,0.14,1.79,0.17,0.18,5.0316144,3.06e-05,3.06e-05,6330.0,110.0,110.0,1.239,0.027999999999999997,0.027999999999999997
1839,0.92,0.23,0.23,1.443,0.057,0.11,3.3294410000000005,1.6e-05,1.6e-05,6003.0,50.0,50.0,1.181,0.05,0.05
1841,1.31,0.29,0.29,1.525,0.06,0.065,3.0801716,5.3e-06,5.3e-06,7454.0,49.0,49.0,1.635,0.061,0.066
1842,1.176,0.036000000000000004,0.036000000000000004,1.568,0.028999999999999998,0.028999999999999998,2.8716082000000003,1e-06,1e-06,6670.0,120.0,120.0,1.524,0.069,0.069
1847,0.937,0.04,0.04,1.29,0.02,0.02,2.25528756,6e-08,6e-08,5899.0,49.0,49.0,0.9420000000000001,0.054000000000000006,0.06
1848,1.486,0.08800000000000001,0.08800000000000001,1.306,0.067,0.067,4.113791399999999,1e-05,1e-05,6148.0,49.0,49.0,1.31,0.03,0.03
1849,1.47,0.07,0.07,1.35,0.07,0.07,2.7033904,1e-06,1e-06,6518.0,123.728,123.728,1.34,0.21899999999999997,0.21899999999999997
1850,0.9,0.06,0.06,1.7,0.05,0.05,2.989594,5e-06,5e-06,6207.0,76.0,76.0,1.204,0.063,0.07200000000000001
1853,1.24,0.18,0.18,1.2930000000000001,0.06,0.06,2.734784,9e-06,9e-06,6789.0,50.0,50.0,1.535,0.066,0.054000000000000006
1854,0.8740000000000001,0.067,0.068,1.86,0.18,0.18,3.2440599999999997,0.00016,0.00016,5754.0,55.0,55.0,1.2109999999999999,0.066,0.078
2677,0.66,0.09,0.09,0.96,0.07,0.07,4.942782,1.3e-06,1.3e-06,5515.0,130.0,122.0,1.02,0.05,0.04
3814,0.941,0.019,0.125,1.341,0.046,0.044000000000000004,1.7208603999999998,3e-07,3e-07,5750.0,90.0,90.0,1.17,0.09,0.09
