,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_mass,star_mass_error_min,star_mass_error_max
5318,0.00809,0.0016,0.0016,0.1222,0.009000000000000001,0.009000000000000001,0.549374,1.3000000000000001e-05,1e-05,4757.0,51.0,51.0,0.75,0.025,0.025
5320,0.13,0.02,0.01,0.6183,0.009000000000000001,0.0071,4.5320599999999995,2e-06,2e-06,4994.0,50.0,50.0,0.7809999999999999,0.042,0.042
5323,0.0582,0.0101,0.0101,0.2346,0.0134,0.0134,22.80857,5.9999999999999995e-05,5.9999999999999995e-05,5180.0,110.0,110.0,0.85,0.05,0.05
5331,0.0069,0.0022,0.0041,0.1169,0.0036,0.0036,1.062107,1.4e-06,1.4e-06,5752.0,100.0,100.0,0.99,0.03,0.03
5339,0.0324,0.0069,0.0069,0.2355,0.0107,0.0107,3.098331,2.1e-05,2.1e-05,5607.0,86.0,86.0,1.074,0.05,0.06
5343,0.0289,0.0011,0.0011,0.2953,0.0009,0.0009,3.348237,3.5e-05,3.5e-05,3194.0,56.0,56.0,0.342,0.025,0.025
5345,0.0289,0.0066,0.0066,0.2025,0.0062,0.0062,7.435583,2.2e-05,2.2e-05,4219.0,179.0,146.0,0.66,0.08,0.09
5346,0.0113,0.011000000000000001,0.0,0.1374,0.0125,0.0125,11.244000000000002,0.025,0.025,4219.0,179.0,146.0,0.66,0.08,0.09
5347,0.1089,0.0132,0.0132,0.505,0.025,0.025,15.3444,0.0055,0.0055,5588.0,124.973,124.973,0.987,0.0532,0.0532
5354,0.0138,0.005,0.0101,0.1624,0.0134,0.0143,7.768915,3.7e-05,2.5e-05,3710.0,58.0,58.0,0.5589999999999999,0.028999999999999998,0.028999999999999998
5355,0.0069,0.0022,0.0041,0.11599999999999999,0.0045,0.0045,0.7363104,3e-07,3e-07,3383.0,157.0,157.0,0.35,0.01,0.01
5356,0.0107,0.0057,0.0057,0.2266,0.0036,0.0036,10.35523,1e-05,1e-05,5200.0,100.0,100.0,0.8490000000000001,0.026000000000000002,0.027000000000000003
5357,0.0145,0.0072,0.0072,0.2989,0.0045,0.0045,21.01549,2.9999999999999997e-05,2.9999999999999997e-05,5200.0,100.0,100.0,0.8490000000000001,0.026000000000000002,0.027000000000000003
5358,0.023,0.0088,0.0088,0.2935,0.0054,0.0054,35.12551,7e-05,7e-05,5200.0,100.0,100.0,0.8490000000000001,0.026000000000000002,0.027000000000000003
5360,0.016,0.0076,0.0151,0.182,0.0482,0.045,10.505339999999999,8e-05,8e-05,3800.0,100.0,100.0,0.54,0.08,0.08
5361,0.02121,0.0088,0.0167,0.2204,0.0116,0.0116,6.0784247,9.6e-06,9.6e-06,3550.0,50.0,50.0,0.49,0.03,0.03
5362,0.11599999999999999,0.11599999999999999,0.0,0.3283,0.0125,0.017,124.72997,0.00065,0.00065,4902.0,141.0,105.0,0.8,0.07,0.12
5363,0.0129,0.0129,0.0,0.1115,0.0062,0.0062,17.774872,5e-05,4.5e-05,3662.0,130.0,130.0,0.465,0.012,0.012
5364,0.0233,0.0233,0.0,0.1187,0.0071,0.0071,28.172209999999996,0.00014,0.00014,3662.0,130.0,130.0,0.465,0.012,0.012
5365,0.006,0.0019,0.0044,0.11089,0.00687,0.00687,3.1190632999999996,1e-05,1e-05,3285.0,157.0,157.0,0.218,0.02,0.02
5366,0.0145,0.0057,0.011000000000000001,0.17076,0.00848,0.00848,6.38784,1.2e-05,1.2e-05,3285.0,157.0,157.0,0.218,0.02,0.02
5369,0.0214,0.0214,0.0,0.18930999999999998,0.0058,0.0058,5.7998164,3.5000000000000004e-06,3.5000000000000004e-06,3131.0,30.0,30.0,0.21,0.005,0.005
5370,0.0142,0.006,0.006,0.2346,0.0134,0.0134,16.34136,0.00013000000000000002,0.00013000000000000002,5991.0,90.0,114.0,1.1,0.1,0.1
5371,0.028730000000000002,0.00245,0.00245,0.24,0.0143,0.0143,9.229200500000001,6e-06,6e-06,4406.0,68.0,178.0,0.69,0.08,0.08
5373,0.0148,0.0082,0.0098,0.1865,0.0071,0.0071,7.85191,4e-05,4e-05,3342.0,100.0,100.0,0.34,0.03,0.03
5374,0.076,0.013000000000000001,0.013000000000000001,0.2721,0.0205,0.0205,18.261570000000003,6e-06,6e-06,5659.0,48.0,48.0,0.94,0.02,0.02
5385,0.08199999999999999,0.0041,0.0041,0.3131,0.0134,0.0134,1.1947268,9.3e-06,7.9e-06,5634.0,31.0,31.0,1.032,0.038,0.038
5389,0.0428,0.0038,0.0038,0.2694,0.0152,0.0152,10.695264,8.7e-05,8.7e-05,5298.0,65.0,65.0,0.825,0.027999999999999997,0.027999999999999997
5391,0.0179,0.0072,0.0135,0.19574,0.0098,0.0098,35.189346,9e-05,9e-05,3430.0,130.0,130.0,0.33,0.02,0.02
5392,0.011000000000000001,0.0041,0.0079,0.1445,0.0116,0.0116,0.35247280000000003,4.7e-06,4.7e-06,5534.0,100.0,100.0,0.99,0.04,0.04
5395,0.0614,0.0614,0.0,0.1552,0.0071,0.0071,13.64,0.0001,0.00013000000000000002,3491.0,58.0,58.0,0.45399999999999996,0.01,0.01
5396,0.005,0.0019,0.0044,0.1044,0.0062,0.0062,0.3862224,3.3e-06,3.3e-06,3813.0,70.0,70.0,0.56,0.01,0.01
5405,0.17820999999999998,0.0135,0.011000000000000001,0.607,0.027000000000000003,0.027000000000000003,4.31361,1e-06,1e-06,4802.0,97.0,97.0,0.75,0.01,0.01
5407,0.009000000000000001,0.003,0.006,0.1285,0.0107,0.0107,5.436098,3.9e-05,3.9e-05,3212.0,100.0,100.0,0.179,0.004,0.004
5409,0.0106,0.0015400000000000001,0.0015400000000000001,0.13909000000000002,0.00419,0.00419,1.273099,1.6e-06,1.6e-06,5080.0,130.0,130.0,0.7879999999999999,0.048,0.048
5410,0.0211,0.0035,0.0035,0.1945,0.0161,0.0161,8.465651,3.5e-05,3.5e-05,5080.0,130.0,130.0,0.7879999999999999,0.048,0.048
5411,0.0286,0.013000000000000001,0.0223,0.2623,0.0152,0.0152,3.0766896,6.5000000000000004e-06,6.5000000000000004e-06,3100.0,75.0,75.0,0.162,0.008,0.008
5412,0.0123,0.0047,0.0072,0.1499,0.0098,0.0098,0.7826941999999999,3.7000000000000006e-06,3.7000000000000006e-06,4099.0,123.0,123.0,0.65,0.02,0.02
5417,0.0129,0.0047,0.0098,0.161,0.0107,0.0107,1.3060011,0.001,0.001,4072.0,121.0,121.0,0.64,0.02,0.02
5421,0.006,0.0013,0.0013,0.12267,0.00045,0.00045,0.3711281,5e-07,5e-07,3330.0,157.0,157.0,0.25,0.01,0.01
5427,0.10893,0.0129,0.0129,0.5406,0.0259,0.0259,3.7382519999999997,4e-06,4e-06,5905.0,12.0,12.0,1.12,0.02,0.02
5428,1.0,1.0,0.0,0.2444,0.0161,0.0161,4.9377699999999995,2.8999999999999997e-05,2.8999999999999997e-05,5875.0,190.0,100.0,1.036,0.009000000000000001,0.013000000000000001
5438,0.134,0.023,0.023,0.626,0.013000000000000001,0.013000000000000001,18.388270000000002,0.00072,0.00072,6075.0,90.0,90.0,1.389,0.009000000000000001,0.055999999999999994
5443,0.02961,0.009000000000000001,0.009000000000000001,0.1454,0.0062,0.0062,13.475829999999998,1.3000000000000001e-05,1.3000000000000001e-05,4026.0,14.0,14.0,0.616,0.032,0.032
5448,0.027999999999999997,0.0053,0.0053,0.2284,0.017,0.017,10.75101,5.9999999999999995e-05,5.9999999999999995e-05,5784.0,120.0,110.0,1.04,0.1,0.15
5449,0.0337,0.0069,0.0069,0.2213,0.017,0.017,19.6053,0.0003,0.0003,5784.0,120.0,110.0,1.04,0.1,0.15
5450,0.0277,0.0044,0.0044,0.2471,0.0107,0.0107,3.6977104,3.7000000000000006e-06,3.7000000000000006e-06,3514.0,70.0,70.0,0.3917,0.0095,0.0095
5451,0.00466,0.00057,0.00057,0.11125,0.0074,0.0074,3.35992,5e-05,5e-05,3386.0,131.0,137.0,0.4,0.02,0.02
5452,0.0195,0.00098,0.00098,0.2079,0.0009,0.0009,5.6605099999999995,4e-05,4e-05,3386.0,131.0,137.0,0.4,0.02,0.02
5453,0.0132,0.0005,0.0005,0.19,0.0107,0.0107,11.380139999999999,0.0001,0.0001,3386.0,131.0,137.0,0.4,0.02,0.02
5460,0.01425,0.0025,0.0025,0.1267,0.009000000000000001,0.009000000000000001,4.5117244,3e-06,3e-06,5132.0,12.0,12.0,0.83,0.05,0.05
5461,0.0117,0.00698,0.00698,0.1677,0.0107,0.0107,39.361826,8e-05,7e-05,5132.0,12.0,12.0,0.83,0.05,0.05
5465,0.2146,0.011000000000000001,0.011000000000000001,0.6388,0.045,0.0509,1.266918,2e-06,2e-06,6177.0,62.0,62.0,1.29,0.02,0.02
5469,0.0953,0.0076,0.0076,0.3408,0.0312,0.0375,0.8831331,1e-06,1e-06,5068.0,42.0,61.0,0.86,0.03,0.02
5470,0.1271,0.0116,0.012,0.4211,0.0321,0.0321,5.70439,0.00013000000000000002,0.00013000000000000002,5560.0,106.0,140.0,0.98,0.08,0.17
5472,0.18,0.005,0.005,0.285,0.0098,0.0143,0.777038,1e-06,1e-06,5251.0,71.0,71.0,0.88,0.02,0.02
5477,0.02822,0.0038,0.0038,0.2873,0.0071,0.0071,8.1594667,1.7e-05,1.7e-05,5844.0,42.0,42.0,1.023,0.040999999999999995,0.040999999999999995
5480,0.083,0.003,0.003,0.473,0.0241,0.0241,4.417965000000001,5e-06,5e-06,4969.0,45.0,45.0,0.78,0.02,0.02
5486,0.04704,0.012329999999999999,0.0129,0.4586,0.0143,0.0143,4.6747373,3.8e-06,3.8e-06,3576.0,88.0,88.0,0.52,0.02,0.02
5490,0.0519,0.0057,0.011000000000000001,0.5629,0.025,0.025,4.5445697,9.4e-06,9.4e-06,3269.0,70.0,70.0,0.2813,0.067,0.067
5494,0.011170000000000001,0.00302,0.00302,0.17800000000000002,0.00419,0.00419,3.585287,1.2e-05,1.2e-05,6201.0,50.0,50.0,1.145,0.08,0.07400000000000001
5495,0.0028,0.0019,0.00296,0.1766,0.0048200000000000005,0.0048200000000000005,5.973865,1.6e-05,1.6e-05,6201.0,50.0,50.0,1.145,0.08,0.07400000000000001
5496,0.0223,0.005,0.005,0.18,0.00571,0.00571,11.230511,4.5e-05,4.5e-05,6201.0,50.0,50.0,1.145,0.08,0.07400000000000001
5499,0.035,0.00406,0.00406,0.2694,0.0071,0.0071,1.348335,2e-06,3e-06,5104.0,50.0,50.0,0.88,0.03,0.03
5500,0.0639,0.0067,0.0067,0.529,0.0107,0.0107,5.4146540000000005,7.000000000000001e-06,7.000000000000001e-06,5104.0,50.0,50.0,0.88,0.03,0.03
5501,0.12003,0.01029,0.01029,0.5513,0.0134,0.0134,14.708860000000001,2.9999999999999997e-05,2.9999999999999997e-05,5104.0,50.0,50.0,0.88,0.03,0.03
5503,0.02051,0.0013,0.0013,0.1579,0.00285,0.00285,4.7559804,3.7000000000000006e-06,6.2e-06,5131.0,74.0,74.0,0.851,0.034,0.042
5504,0.02136,0.0035,0.0041,0.22536,0.006690000000000001,0.007670000000000001,17.180546,2.6000000000000002e-05,2.1e-05,5131.0,74.0,74.0,0.851,0.034,0.042
5513,6.6,2.75,5.2,0.2168,0.0187,0.0187,4.9019804,5.2e-06,5.2e-06,3225.0,75.0,75.0,0.24,0.012,0.012
5515,0.0444,0.0044,0.0044,0.4541,0.0062,0.0062,16.067541000000002,4e-06,4e-06,5325.0,58.0,78.0,0.852,0.021,0.028999999999999998
5518,0.00966,0.0011,0.0011,0.1142,0.0036,0.0036,0.490047,7.000000000000001e-06,1e-05,4850.0,75.0,75.0,0.78,0.07,0.07
5520,0.0311,0.00469,0.00481,0.2935,0.008,0.008,12.461030000000001,2e-05,2e-05,4850.0,75.0,75.0,0.78,0.07,0.07
5530,0.017,0.0035,0.0035,0.2248,0.0116,0.0116,7.446280000000001,9e-06,9e-06,3422.0,81.0,81.0,0.368,0.021,0.021
5537,0.0261,0.025,0.013000000000000001,0.2516,0.057999999999999996,0.057999999999999996,1.1589,2e-05,1e-05,3400.0,100.0,100.0,0.452,0.09,0.09
5538,0.006,0.00053,0.00053,0.11874000000000001,0.00205,0.00205,0.9263237,9.000000000000001e-07,9.000000000000001e-07,3600.0,16.0,16.0,0.413,0.011000000000000001,0.011000000000000001
5549,0.0085,0.003,0.006,0.12624000000000002,0.0098,0.0116,3.9659910000000003,0.00033,0.00031,3558.0,83.0,73.0,0.392,0.027000000000000003,0.027000000000000003
5556,0.1504,0.076,0.08800000000000001,0.285,0.018000000000000002,0.018000000000000002,271.9445,0.004,0.004,5800.0,50.0,50.0,1.1,0.06,0.06
5558,0.0186,0.006,0.006,0.3105,0.025,0.018000000000000002,13.63083,9e-05,9e-05,5283.0,122.0,122.0,0.91,0.1,0.14
5559,0.0142,0.0009,0.0009,0.141,0.0303,0.018000000000000002,3.53796,0.0003,0.0003,5283.0,122.0,122.0,0.91,0.1,0.14
5560,0.016,0.0013,0.0013,0.1222,0.036000000000000004,0.027000000000000003,6.42975,0.0001,0.0001,5283.0,122.0,122.0,0.91,0.1,0.14
